:START_ID,:END_ID,first_year:INT,pub_count:INT,:TYPE
2,330,2015,1,coauthor
2,333,2015,1,coauthor
2,355,2015,1,coauthor
2,360,2015,1,coauthor
2,365,2015,1,coauthor
2,376,2015,1,coauthor
2,382,2015,1,coauthor
2,384,2015,1,coauthor
2,385,2015,1,coauthor
2,392,2015,1,coauthor
2,397,2015,1,coauthor
2,398,2015,1,coauthor
2,404,2015,1,coauthor
2,407,2015,1,coauthor
2,410,2015,1,coauthor
2,440,2015,1,coauthor
2,452,2015,1,coauthor
2,466,2015,1,coauthor
2,471,2015,1,coauthor
2,474,2015,1,coauthor
2,476,2015,1,coauthor
2,481,2015,1,coauthor
2,483,2015,1,coauthor
2,490,2015,1,coauthor
2,491,2015,1,coauthor
2,505,2015,1,coauthor
2,506,2015,1,coauthor
2,507,2015,1,coauthor
2,509,2015,1,coauthor
2,512,2015,1,coauthor
2,513,2015,1,coauthor
2,517,2015,1,coauthor
2,518,2015,1,coauthor
2,524,2015,1,coauthor
2,544,2015,1,coauthor
2,547,2015,1,coauthor
2,551,2015,1,coauthor
2,552,2015,1,coauthor
2,575,2015,1,coauthor
2,578,2015,1,coauthor
2,579,2015,1,coauthor
2,580,2015,1,coauthor
2,581,2015,1,coauthor
2,582,2015,1,coauthor
2,583,2015,1,coauthor
2,586,2015,1,coauthor
2,587,2015,1,coauthor
2,588,2015,1,coauthor
2,592,2015,1,coauthor
2,596,2015,1,coauthor
2,601,2015,1,coauthor
2,602,2015,1,coauthor
2,603,2015,1,coauthor
2,604,2015,1,coauthor
2,605,2015,1,coauthor
2,606,2015,1,coauthor
3,12,2015,1,coauthor
3,24,2015,1,coauthor
3,25,2015,1,coauthor
3,27,2015,1,coauthor
3,33,2015,1,coauthor
3,40,2015,1,coauthor
3,45,2015,1,coauthor
3,53,2015,1,coauthor
3,56,2015,1,coauthor
3,65,2015,1,coauthor
3,70,2015,1,coauthor
3,71,2015,1,coauthor
3,76,2015,1,coauthor
3,82,2015,1,coauthor
3,88,2015,1,coauthor
3,93,2015,1,coauthor
3,99,2015,1,coauthor
3,107,2015,1,coauthor
3,108,2015,1,coauthor
3,109,2015,1,coauthor
3,115,2015,1,coauthor
3,117,2015,1,coauthor
3,126,2015,1,coauthor
3,143,2015,1,coauthor
